,Date,State,Confirmed,Deceased,Recovered,State_Name
106,01-May-20,PY,0,0,0,Puducherry
107,01-May-20,RJ,82,4,223,Rajasthan
108,01-May-20,SK,0,0,0,Sikkim
109,01-May-20,TG,6,0,22,Telangana
110,01-May-20,TN,203,1,54,Tamil Nadu
111,01-May-20,TR,0,0,0,Tripura
112,01-May-20,TT,2396,77,962,Total
113,01-May-20,UN,0,0,0,State Unassigned
114,01-May-20,UP,117,2,103,Uttar Pradesh
115,01-May-20,UT,0,1,1,Uttarakhand
116,01-May-20,WB,37,8,15,West Bengal
117,02-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
118,02-Apr-20,AP,38,0,0,Andhra Pradesh
119,02-Apr-20,AR,1,0,0,Arunachal Pradesh
120,02-Apr-20,AS,0,0,0,Assam
121,02-Apr-20,BR,5,0,3,Bihar
122,02-Apr-20,CH,1,0,0,Chandigarh
123,02-Apr-20,CT,0,0,1,Chhattisgarh
124,02-Apr-20,DD,0,0,0,Daman and Diu
125,02-Apr-20,DL,141,2,2,Delhi
126,02-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
127,02-Apr-20,GA,0,0,0,Goa
128,02-Apr-20,GJ,1,1,5,Gujarat
129,02-Apr-20,HP,3,0,0,Himachal Pradesh
130,02-Apr-20,HR,6,0,0,Haryana
131,02-Apr-20,JH,1,0,0,Jharkhand
132,02-Apr-20,JK,8,0,1,Jammu and Kashmir
133,02-Apr-20,KA,14,0,2,Karnataka
134,02-Apr-20,KL,21,0,2,Kerala
135,02-Apr-20,LA,0,0,0,Ladakh
136,02-Apr-20,LD,0,0,0,Lakshadweep
137,02-Apr-20,MH,88,8,3,Maharashtra
138,02-Apr-20,ML,0,0,0,Meghalaya
139,02-Apr-20,MN,1,0,0,Manipur
140,02-Apr-20,MP,9,2,0,Madhya Pradesh
141,02-Apr-20,MZ,0,0,0,Mizoram
142,02-Apr-20,NL,0,0,0,Nagaland
143,02-Apr-20,OR,0,0,0,Odisha
144,02-Apr-20,PB,1,1,0,Punjab
145,02-Apr-20,PY,2,0,0,Puducherry
146,02-Apr-20,RJ,13,0,0,Rajasthan
147,02-Apr-20,SK,0,0,0,Sikkim
148,02-Apr-20,TG,27,0,3,Telangana
149,02-Apr-20,TN,75,0,0,Tamil Nadu
150,02-Apr-20,TR,0,0,0,Tripura
151,02-Apr-20,TT,486,14,22,Total
152,02-Apr-20,UN,0,0,0,State Unassigned
153,02-Apr-20,UP,11,0,0,Uttar Pradesh
154,02-Apr-20,UT,3,0,0,Uttarakhand
155,02-Apr-20,WB,16,0,0,West Bengal
156,02-Jun-20,AN,0,0,0,Andaman and Nicobar Islands
157,02-Jun-20,AP,115,0,40,Andhra Pradesh
158,02-Jun-20,AR,5,0,0,Arunachal Pradesh
159,02-Jun-20,AS,74,0,53,Assam
160,02-Jun-20,BR,151,1,62,Bihar
161,02-Jun-20,CH,4,1,0,Chandigarh
162,02-Jun-20,CT,15,1,9,Chhattisgarh
163,02-Jun-20,DD,0,0,0,Daman and Diu
164,02-Jun-20,DL,1298,33,497,Delhi
165,02-Jun-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
166,02-Jun-20,GA,6,0,7,Goa
167,02-Jun-20,GJ,415,29,1114,Gujarat
168,02-Jun-20,HP,5,0,18,Himachal Pradesh
